TITLE;PRODUCTION_YEAR;SERIE_TITLE;SERIE_PROD_YEAR;SEASON_NR;EPISODE_NR;SERIES_YEARS;KIND;TITLELINK;PRODUCTIONYEARLINK;LINK;KEYWORD;NAME;GENDER;PERSON_INFO;INFO_CONTEXT;ROLE;ROLE_NAME;NOTE;NR_ORDER
Al otro lado del túnel;1994;;;;;;movie;;;;action;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;Hermano Felicísimo;;
El alquiler;1994;;;;;;movie;;;;;Calvo, Jorge;m;9 February 1969;birth date;actor;;;20
El alquiler;1994;;;;;;movie;;;;;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;;;20
El nacimiento de un imperio;1998;;;;;;movie;;;;;Calvo, Jorge;m;9 February 1969;birth date;actor;Mozo;;30
El nacimiento de un imperio;1998;;;;;;movie;;;;;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;Mozo;;30
Franco no puede morir en la cama;1998;;;;;;movie;;;;;Calvo, Jorge;m;9 February 1969;birth date;actor;Manolo Bonilla;;20
Franco no puede morir en la cama;1998;;;;;;movie;;;;;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;Manolo Bonilla;;20
La duquesa roja;1997;;;;;;movie;;;;;Calvo, Jorge;m;9 February 1969;birth date;actor;Luisín;;110
La duquesa roja;1997;;;;;;movie;;;;;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;Luisín;;110
Los hombres siempre mienten;1995;;;;;;movie;;;;;Calvo, Jorge;m;9 February 1969;birth date;actor;Jaime;;60
Los hombres siempre mienten;1995;;;;;;movie;;;;;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;Jaime;;60
Una gloria nacional;1993;;;;;1993-????;tv series;;;;;Calvo, Jorge;m;9 February 1969;birth date;actor;;;
Una gloria nacional;1993;;;;;1993-????;tv series;;;;;Calvo, Jorge;m;Valladolid, Valladolid, Castilla y León, Spain;birth notes;actor;;;
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;action;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;adult;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;adventure;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;family;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;historic;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;musical;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;science-fiction;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;thriller;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;war;Calvo, Jorge 1;m;;;miscellaneous crew;;(assistant location manager: Spain);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;action;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;adult;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;adventure;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;family;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;historic;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;musical;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
Tránsito;1996;;;;;;movie;;;;;Cámara, Javier 1;m;Madrid, Spain;birth notes;composer;;;
Un día perfecto;1998;;;;;;movie;;;;;Cámara, Javier 1;m;1967;birth date;composer;;;
Un día perfecto;1998;;;;;;movie;;;;;Cámara, Javier 1;m;Madrid, Spain;birth notes;composer;;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;action;Castellano, Franco;m;11 January 1957;birth date;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;adult;Castellano, Franco;m;11 January 1957;birth date;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;historic;Castellano, Franco;m;11 January 1957;birth date;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;thriller;Castellano, Franco;m;11 January 1957;birth date;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;war;Castellano, Franco;m;11 January 1957;birth date;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;action;Castellano, Franco;m;San Vito al Tagliamento, Friuli-Venezia Giulia, Italy;birth notes;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;adult;Castellano, Franco;m;San Vito al Tagliamento, Friuli-Venezia Giulia, Italy;birth notes;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;historic;Castellano, Franco;m;San Vito al Tagliamento, Friuli-Venezia Giulia, Italy;birth notes;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;thriller;Castellano, Franco;m;San Vito al Tagliamento, Friuli-Venezia Giulia, Italy;birth notes;actor;Rocca;;
Il giovane Mussolini;1993;;;;;1993-????;tv series;;;;war;Castellano, Franco;m;San Vito al Tagliamento, Friuli-Venezia Giulia, Italy;birth notes;actor;Rocca;;
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;20 June 1925;birth date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;20 June 1925;birth date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;20 June 1925;birth date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;musical;Castellano, Franco 1;m;20 June 1925;birth date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;musical;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;musical;Castellano, Franco 1;m;20 June 1925;birth date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;28 December 1999;death date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;28 December 1999;death date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;28 December 1999;death date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;musical;Castellano, Franco 1;m;28 December 1999;death date;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;musical;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;musical;Castellano, Franco 1;m;28 December 1999;death date;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;action;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;adult;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;director;;"(segment ""Venerdi"") (as Castellano)";
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;writer;;"(screenplay) (segment ""Venerdì"") (as Castellano)";1000
Sabato, domenica e venerdì;1979;;;;;;movie;;;;comedy;Castellano, Franco 1;m;Rome, Lazio, Italy;birth notes;writer;;"(story) (segment ""Venerdì"") (as Castellano)";0
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;science-fiction;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;thriller;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
The Disappearance of Garcia Lorca;1996;;;;;;movie;;;;war;Calvo, Jorge 1;m;9 February 1969;birth date;miscellaneous crew;;(assistant location manager);
